cdate,acode,aname,scode,sname,fdust,ozone,nd,cm,sagas,airquality
20180101,100,도심권,111121,중구,32,0.015,0.028,0.5,0.005,good
20180101,104,동남권,111273,송파구,52,0.013,0.028,0.7,0.004,bad
20180101,104,동남권,111262,서초구,49,0.011,0.031,0.6,0.005,normal
20180101,104,동남권,111261,강남구,34,0.01,0.033,0.6,0.006,normal
20180101,103,서남권,111301,양천구,37,0.008,0.037000000000000005,0.7,0.005,normal
20180101,103,서남권,111281,금천구,39,0.01,0.036000000000000004,0.6,0.005,normal
20180101,103,서남권,111251,관악구,38,0.008,0.036000000000000004,0.5,0.008,normal
20180101,103,서남권,111241,동작구,40,0.012,0.035,0.5,0.005,normal
20180101,103,서남권,111231,영등포구,47,0.01,0.03,0.7,0.006999999999999999,normal
20180101,103,서남권,111221,구로구,47,0.008,0.025,0.6,0.006999999999999999,bad
20180101,103,서남권,111212,강서구,0,0.012,0.036000000000000004,0.7,0.004,good
20180101,102,동북권,111311,노원구,42,0.012,0.034,0.8,0.006999999999999999,normal
20180101,104,동남권,111274,강동구,48,0.01,0.038,0.7,0.005,normal
20180101,102,동북권,111291,강북구,38,0.018000000000000002,0.026,0.6,0.004,good
20180101,102,동북권,111171,도봉구,44,0.016,0.029,0.6,0.006,normal
20180101,102,동북권,111161,성북구,43,0.01,0.04,0.7,0.006999999999999999,normal
20180101,102,동북권,111152,동대문구,46,0.013,0.031,0.6,0.006,normal
20180101,102,동북권,111151,중랑구,48,0.01,0.036000000000000004,0.7,0.006999999999999999,normal
20180101,102,동북권,111142,성동구,47,0.01,0.032,0.3,0.006,normal
20180101,102,동북권,111141,광진구,41,0.012,0.037000000000000005,0.7,0.005,normal
20180101,101,서북권,111201,마포구,39,0.012,0.033,0.6,0.006,normal
20180101,101,서북권,111181,은평구,41,0.014,0.017,0.6,0.003,normal
20180101,100,도심권,111131,용산구,38,0.012,0.029,0.3,0.005,good
20180101,100,도심권,111123,종로구,34,0.016,0.029,0.6,0.006999999999999999,good
20180102,104,동남권,111274,강동구,46,0.009000000000000001,0.041,0.8,0.005,bad
20180102,104,동남권,111273,송파구,53,0.011,0.033,0.9,0.005,bad
20180102,104,동남권,111262,서초구,50,0.01,0.032,0.7,0.006,bad
20180102,104,동남권,111261,강남구,34,0.006999999999999999,0.039,0.7,0.006,bad
20180102,103,서남권,111301,양천구,39,0.008,0.038,0.8,0.005,normal
20180102,103,서남권,111281,금천구,39,0.01,0.039,0.7,0.005,normal
20180102,103,서남권,111251,관악구,37,0.006999999999999999,0.042,0.6,0.006999999999999999,normal
20180102,103,서남권,111241,동작구,43,0.011,0.045,0.8,0.004,normal
20180102,103,서남권,111231,영등포구,48,0.009000000000000001,0.037000000000000005,0.8,0.006999999999999999,bad
20180102,103,서남권,111221,구로구,46,0.006999999999999999,0.024,0.8,0.006999999999999999,bad
20180102,103,서남권,111212,강서구,23,0.012,0.037000000000000005,0.7,0.004,good
20180102,102,동북권,111311,노원구,41,0.014,0.033,0.8,0.006,normal
20180102,102,동북권,111291,강북구,32,0.02,0.028,0.6,0.004,good
20180102,102,동북권,111171,도봉구,42,0.016,0.033,0.8,0.004,normal
20180102,102,동북권,111161,성북구,43,0.012,0.041,0.9,0.006,normal
20180102,102,동북권,111152,동대문구,43,0.011,0.043,0.7,0.006,normal
20180102,102,동북권,111151,중랑구,46,0.008,0.042,0.8,0.006,normal
20180102,102,동북권,111142,성동구,42,0.009000000000000001,0.033,0.5,0.005,normal
20180102,102,동북권,111141,광진구,44,0.01,0.043,0.8,0.006,bad
20180102,101,서북권,111201,마포구,40,0.01,0.043,0.9,0.005,normal
20180102,101,서북권,111181,은평구,40,0.013,0.021,0.8,0.004,normal
20180102,100,도심권,111131,용산구,38,0.009000000000000001,0.038,0.5,0.005,normal
20180102,100,도심권,111123,종로구,36,0.01,0.044,0.9,0.006999999999999999,normal
20180102,100,도심권,111121,중구,33,0.012,0.037000000000000005,0.8,0.005,normal
20180103,100,도심권,111123,종로구,31,0.016,0.025,0.6,0.006999999999999999,good
20180103,104,동남권,111274,강동구,39,0.015,0.028,0.5,0.005,normal
20180103,104,동남권,111273,송파구,40,0.016,0.022,0.4,0.004,normal
20180103,104,동남권,111262,서초구,40,0.016,0.019,0.4,0.005,normal
20180103,104,동남권,111261,강남구,28,0.01,0.027000000000000003,0.5,0.006,normal
20180103,103,서남권,111301,양천구,33,0.015,0.022,0.5,0.004,good
20180103,103,서남권,111281,금천구,33,0.016,0.026,0.5,0.005,good
20180103,103,서남권,111251,관악구,30,0.012,0.025,0.3,0.006999999999999999,good
20180103,103,서남권,111241,동작구,39,0.015,0.026,0.4,0.004,good
20180103,103,서남권,111231,영등포구,40,0.012,0.024,0.6,0.006999999999999999,normal
20180103,103,서남권,111221,구로구,39,0.012,0.016,0.4,0.006,normal
20180103,103,서남권,111212,강서구,33,0.019,0.02,0.4,0.004,good
20180103,102,동북권,111311,노원구,36,0.022,0.018000000000000002,0.5,0.006,good
20180103,102,동북권,111291,강북구,30,0.026,0.016,0.5,0.004,good
20180103,102,동북권,111171,도봉구,34,0.023,0.014,0.4,0.006,normal
20180103,102,동북권,111161,성북구,37,0.017,0.024,0.5,0.006,good
20180103,102,동북권,111152,동대문구,37,0.017,0.024,0.5,0.006,good
20180103,102,동북권,111151,중랑구,39,0.014,0.025,0.5,0.006,normal
20180103,102,동북권,111142,성동구,37,0.012,0.024,0.5,0.005,normal
20180103,102,동북권,111141,광진구,34,0.016,0.026,0.5,0.004,good
20180103,101,서북권,111201,마포구,33,0.017,0.021,0.5,0.005,good
20180103,100,도심권,111121,중구,30,0.018000000000000002,0.021,0.5,0.005,good
20180103,101,서북권,111181,은평구,39,0.02,0.024,0.6,0.005,normal
20180103,100,도심권,111131,용산구,36,0.013,0.025,0.3,0.005,good
20180104,100,도심권,111121,중구,38,0.009000000000000001,0.036000000000000004,0.7,0.005,normal
20180104,104,동남권,111274,강동구,55,0.011,0.036000000000000004,0.6,0.005,bad
20180104,104,동남권,111273,송파구,57,0.013,0.029,0.6,0.005,bad
20180104,104,동남권,111262,서초구,52,0.008,0.034,0.5,0.005,bad
20180104,104,동남권,111261,강남구,34,0.006999999999999999,0.037000000000000005,0.6,0.006,bad
20180104,103,서남권,111301,양천구,39,0.008,0.033,0.6,0.004,normal
20180104,103,서남권,111281,금천구,42,0.009000000000000001,0.038,0.6,0.005,bad
20180104,103,서남권,111251,관악구,41,0.006,0.039,0.4,0.006999999999999999,bad
20180104,103,서남권,111241,동작구,49,0.009000000000000001,0.042,0.6,0.005,bad
20180104,103,서남권,111231,영등포구,49,0.009000000000000001,0.031,0.7,0.006999999999999999,bad
20180104,103,서남권,111221,구로구,48,0.006999999999999999,0.024,0.6,0.006,bad
20180104,103,서남권,111212,강서구,61,0.01,0.034,0.5,0.003,bad
20180104,102,동북권,111311,노원구,47,0.014,0.031,0.6,0.006,bad
20180104,102,동북권,111291,강북구,39,0.015,0.031,0.6,0.004,normal
20180104,102,동북권,111171,도봉구,48,0.011,0.035,0.5,0.005,bad
20180104,102,동북권,111161,성북구,47,0.01,0.038,0.7,0.006,normal
20180104,102,동북권,111152,동대문구,48,0.011,0.039,0.6,0.006,normal
20180104,102,동북권,111151,중랑구,51,0.011,0.033,0.6,0.006,bad
20180104,102,동북권,111142,성동구,46,0.008,0.032,0.5,0.005,bad
20180104,102,동북권,111141,광진구,43,0.014,0.033,0.5,0.005,normal
20180104,101,서북권,111201,마포구,45,0.009000000000000001,0.036000000000000004,0.6,0.005,bad
20180104,101,서북권,111181,은평구,38,0.015,0.03,0.6,0.005,normal
20180104,100,도심권,111131,용산구,41,0.008,0.036000000000000004,0.4,0.005,normal
20180104,100,도심권,111123,종로구,39,0.01,0.037000000000000005,0.7,0.006999999999999999,normal
20180105,100,도심권,111121,중구,48,0.006,0.044,0.8,0.005,bad
20180105,104,동남권,111274,강동구,67,0.006999999999999999,0.049,0.8,0.005,worse
20180105,104,동남권,111273,송파구,65,0.008,0.038,0.7,0.006,bad
20180105,104,동남권,111262,서초구,60,0.008,0.036000000000000004,0.6,0.006,worse
20180105,104,동남권,111261,강남구,46,0.006,0.044,0.7,0.006,worse
20180105,103,서남권,111301,양천구,51,0.006999999999999999,0.04,0.7,0.005,bad
20180105,103,서남권,111281,금천구,49,0.009000000000000001,0.044,0.8,0.006,bad
20180105,103,서남권,111251,관악구,48,0.006999999999999999,0.041,0.5,0.006999999999999999,bad
