측정일자,권역코드,권역명,측정소코드,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20180101,100,도심권,111121,중구,32,18,0.015,0.028,0.5,0.005
20180101,104,동남권,111273,송파구,52,23,0.013,0.028,0.7,0.004
20180101,104,동남권,111262,서초구,49,24,0.011,0.031,0.6,0.005
20180101,104,동남권,111261,강남구,34,22,0.01,0.033,0.6,0.006
20180101,103,서남권,111301,양천구,37,21,0.008,0.037,0.7,0.005
20180101,103,서남권,111281,금천구,39,21,0.01,0.036,0.6,0.005
20180101,103,서남권,111251,관악구,38,23,0.008,0.036,0.5,0.008
20180101,103,서남권,111241,동작구,40,19,0.012,0.035,0.5,0.005
20180101,103,서남권,111231,영등포구,47,24,0.01,0.03,0.7,0.007
20180101,103,서남권,111221,구로구,47,28,0.008,0.025,0.6,0.007
20180101,103,서남권,111212,강서구,0,13,0.012,0.036,0.7,0.004
20180101,102,동북권,111311,노원구,42,21,0.012,0.034,0.8,0.007
20180101,104,동남권,111274,강동구,48,24,0.01,0.038,0.7,0.005
20180101,102,동북권,111291,강북구,38,18,0.018,0.026,0.6,0.004
20180101,102,동북권,111171,도봉구,44,22,0.016,0.029,0.6,0.006
20180101,102,동북권,111161,성북구,43,19,0.01,0.04,0.7,0.007
20180101,102,동북권,111152,동대문구,46,20,0.013,0.031,0.6,0.006
20180101,102,동북권,111151,중랑구,48,22,0.01,0.036,0.7,0.007
20180101,102,동북권,111142,성동구,47,23,0.01,0.032,0.3,0.006
20180101,102,동북권,111141,광진구,41,21,0.012,0.037,0.7,0.005
20180101,101,서북권,111201,마포구,39,21,0.012,0.033,0.6,0.006
20180101,101,서북권,111191,서대문구,0,0,0,0,0,0
20180101,101,서북권,111181,은평구,41,21,0.014,0.017,0.6,0.003
20180101,100,도심권,111131,용산구,38,18,0.012,0.029,0.3,0.005
20180101,100,도심권,111123,종로구,34,17,0.016,0.029,0.6,0.007
